###Ambiguous SubPhrase	Phrase	Is this subphrase mission-related? = TRUE or FALSE
#Kepler Phrases
Kepler	Campos Kepler	FALSE
Kepler	Castanheira Kepler	FALSE
Kepler	Kepler-000	FALSE
Kepler	Kepler 000	FALSE
Kepler	Kepler C000	FALSE
Kepler	Kepler type	FALSE
Kepler	Kepler activity	FALSE
Kepler	Kepler AGN	FALSE
Kepler	Kepler Algol	FALSE
Kepler	Kepler binary	FALSE
Kepler	Kepler CBP	FALSE
Kepler	Kepler code	FALSE
Kepler	Kepler dichotomy	FALSE
Kepler	Kepler dwarf	FALSE
Kepler	Kepler EB	FALSE
Kepler	Kepler eclipsing	FALSE
Kepler	Kepler exoplanet	FALSE
Kepler	Kepler flare	FALSE
Kepler	Kepler frequency	FALSE
Kepler	Kepler giant	FALSE
Kepler	Kepler host	FALSE
Kepler	Kepler Law	FALSE
Kepler	Kepler's Law	FALSE
Kepler	Kepler magnitude	FALSE
Kepler	Kepler main sequence	FALSE
Kepler	Kepler Miras	FALSE
Kepler	Kepler model	FALSE
Kepler	Kepler Neptune	FALSE
Kepler	Kepler Object of Interest	FALSE
Kepler	Kepler occurrence rate	FALSE
Kepler	Kepler period	FALSE
Kepler	Kepler planet	FALSE
Kepler	Kepler population	FALSE
Kepler	Kepler progenitor	FALSE
Kepler	Kepler rotator	FALSE
Kepler	Kepler star	FALSE
Kepler	Kepler size	FALSE
Kepler	Kepler SNe	FALSE
Kepler	Kepler subgiant	FALSE
Kepler	Kepler superflare	FALSE
Kepler	Kepler system	FALSE
Kepler	Kepler transit	FALSE
Kepler	Kepler velocity	FALSE
Kepler	Koester Kepler	FALSE
Kepler	Romero Kepler	FALSE
Kepler	Winget Kepler	FALSE
Kepler	NASA Kepler	TRUE
Kepler	two Kepler	TRUE
Kepler	2.2 Kepler	TRUE
Kepler	e.g. Kepler	TRUE
Kepler	Kepler Input Catalog	TRUE
Kepler	Kepler K p	TRUE
Kepler	Kepler K2	FALSE
Kepler	Kepler LC	TRUE
Kepler	Kepler light	TRUE
Kepler	Kepler measurement	TRUE
Kepler	Kepler Orrery	TRUE#???Correct as True?
Kepler	Kepler Q1	TRUE
Kepler	Kepler Science Operations Center	TRUE
Kepler	Kepler show triplet	TRUE#!!!PATCH
Kepler	Kepler work	TRUE
Kepler	Kepler / K2	TRUE
Kepler	Lamost Kepler	TRUE
Kepler	Pre Processing Kepler	TRUE
Kepler	RATS Kepler	TRUE
Kepler	Simultaneous Kepler	TRUE
Kepler	whole Kepler	TRUE
#
#K2 Phrases
K2	−K2 −	FALSE
K2	iso−K2 −	FALSE
K2	k2fov	FALSE
K2	k2phot	FALSE
K2	K2-000	FALSE
K2	K2 000	FALSE
K2	K2 C000	FALSE
K2	K2 C0	FALSE
K2	K2 C3 star	FALSE
K2	K2 C5	FALSE
K2	K2 C6	FALSE
K2	K2 dwarf	FALSE
K2	K2 fit	FALSE
K2	K2 giant	FALSE
K2	K2 model	FALSE
K2	K2 Neptune	FALSE
K2	K2 star	FALSE
K2	K2 self	FALSE#!!!PATCH
K2	K2 transit	FALSE
K2	log g Gaia −K2	FALSE
K2	Order D K2	FALSE
K2	phot K2	FALSE
K2	early K2	TRUE#!!!PATCH
K2	EXOFOP K2	TRUE
K2	Gaia K2	TRUE
K2	Kepler K2	TRUE
K2	K2Gaia	TRUE
K2	K2GAP	TRUE
K2	K2 ESO	TRUE
K2	K2 flux	TRUE
K2	K2 Gaia	TRUE
K2	K2 Galactic Caps Project	TRUE
K2	K2 Hermes	TRUE
K2	K2 measurement	TRUE
K2	K2 nod	TRUE
K2	K2 parallax	TRUE
K2	K2 season	TRUE
K2	K2 year	TRUE
K2	K2 yield	TRUE
K2	Kepler / K2	TRUE
#
#Hubble Phrases
Hubble	Edwin Hubble	FALSE
Hubble	generalised Hubble	FALSE
Hubble	Hubble-000	FALSE
Hubble	Hubble 000	FALSE
Hubble	Hubble classification	FALSE
Hubble	Hubble constant	FALSE
Hubble	Hubble horizon	FALSE
Hubble	Hubble law	FALSE
Hubble	Hubble mass	FALSE
Hubble	Hubble model	FALSE
Hubble	Hubble profile	FALSE
Hubble	Hubble residual	FALSE
Hubble	Hubble stage	FALSE
Hubble	Hubble value	FALSE
Hubble	Hubble velocity	FALSE
Hubble	Hubble sequence	FALSE
Hubble	Hubble time	FALSE
Hubble	Hubble type	FALSE
Hubble	Hubble tension	FALSE
Hubble	Hubble flow	FALSE
Hubble	t Hubble	FALSE
Hubble	deep Hubble	TRUE
Hubble	ESA / Hubble	TRUE
Hubble	Hubble ACS	TRUE
Hubble	Hubble heritage	TRUE
Hubble	Hubble source	TRUE
Hubble	Hubble system	TRUE
Hubble	Hubble UDF	TRUE
Hubble	PHANGS-HST	TRUE
#
#Any-Mission Phrases
#NOTE: These should be last in database, to allow any specific-mission cases above to have precedence
#Applicable to any mission
AnyMission	AnyMission candidate	FALSE
AnyMission	AnyMission Earth	FALSE
AnyMission	AnyMission et al	FALSE
AnyMission	AnyMission equation	FALSE
AnyMission	AnyMission function	FALSE
AnyMission	AnyMission mass	FALSE
AnyMission	AnyMission radius	FALSE
AnyMission	AnyMission team	FALSE
AnyMission	AnyMission analysis	TRUE
AnyMission	AnyMission aperture	TRUE
AnyMission	AnyMission archive	TRUE
AnyMission	AnyMission band	TRUE
AnyMission	AnyMission bandpass	TRUE
AnyMission	AnyMission based	TRUE
AnyMission	AnyMission baseline	TRUE
AnyMission	AnyMission campaign	TRUE
AnyMission	AnyMission catalog	TRUE
AnyMission	AnyMission CCD	TRUE
AnyMission	AnyMission curve	TRUE
AnyMission	AnyMission data	TRUE
AnyMission	AnyMission database	TRUE
AnyMission	AnyMission dataset	TRUE
AnyMission	AnyMission detection	TRUE
AnyMission	AnyMission detector	TRUE
AnyMission	AnyMission discovery	TRUE
AnyMission	AnyMission documentation	TRUE
AnyMission	AnyMission epoch	TRUE
AnyMission	AnyMission field	TRUE
AnyMission	AnyMission filter	TRUE
AnyMission	AnyMission focal	TRUE
AnyMission	AnyMission FOV	TRUE
AnyMission	AnyMission image	TRUE
AnyMission	AnyMission imaging	TRUE
AnyMission	AnyMission lightcurve	TRUE
AnyMission	AnyMission mission	TRUE
AnyMission	AnyMission mode	TRUE
AnyMission	AnyMission monitoring	TRUE
AnyMission	AnyMission observation	TRUE
AnyMission	AnyMission observatory	TRUE
AnyMission	AnyMission passband	TRUE
AnyMission	AnyMission photometry	TRUE
AnyMission	AnyMission pipeline	TRUE
AnyMission	AnyMission pixel	TRUE
AnyMission	AnyMission plot	TRUE
AnyMission	AnyMission program	TRUE
AnyMission	AnyMission quarter	TRUE
AnyMission	AnyMission quest	TRUE
AnyMission	AnyMission result	TRUE
AnyMission	AnyMission sample	TRUE
AnyMission	AnyMission satellite	TRUE
AnyMission	AnyMission scientific	TRUE
AnyMission	AnyMission sensitivity	TRUE
AnyMission	AnyMission spacecraft	TRUE
AnyMission	AnyMission spectrograph	TRUE
AnyMission	AnyMission spectrum	TRUE
AnyMission	AnyMission survey	TRUE
AnyMission	AnyMission target	TRUE
AnyMission	AnyMission telescope	TRUE
AnyMission	AnyMission telecscope	TRUE
AnyMission	AnyMission timeseries	TRUE
AnyMission	AnyMission treasury	TRUE
AnyMission	AnyMission PSF	TRUE
AnyMission	AnyMission user	TRUE
#
